feature,importance
days_since_last_activity,71.56095074451981
source,14.847798536700706
days_since_creation,11.74654456432492
has_company,1.0284094917843591
task_count,0.30057648988084906
interaction_count,0.22232119110481216
todo_task_count,0.14701593575893712
owner_role,0.06620105366737294
avg_task_progress,0.03909984664043438
meeting_interaction_count,0.0220110772310576
email_task_count,0.012661116780581929
open_task_count,0.003423858712646352
completed_task_count,0.0029860928935013906
email_interaction_count,0.0
call_count,0.0
meeting_task_count,0.0
overdue_task_count,0.0
call_task_count,0.0
